D,I,distance_from_random,idx,status
0.35582878958332936,0.35582878959045616,0.3730133388896255,0,optimal
0.20030950150478816,0.2003095014933588,0.5265069956319013,1,optimal
0.17601779762593744,0.17601779762606218,0.19877236592501257,2,optimal
0.20696866503010725,0.2069686650303625,0.36937752375374755,3,optimal
0.25596838343164835,0.25596838343377815,0.24782448075142946,4,optimal
0.3233050159620682,0.32330487475240144,0.3841146833597048,5,optimal
0.08292129815403973,0.08292129815303784,0.2707607972948445,6,optimal
0.18151158748658136,0.1815115874863984,0.4472034223511385,7,optimal
0.15454099790354814,0.1545409979958272,0.34466526011254217,8,optimal
0.500126446811382,0.5001246155855772,0.35641158452985805,9,optimal
0.35753704511897966,0.35753703600689324,0.19238452879223764,10,optimal
0.2594521468145709,0.25945214681381223,0.38173271855026525,11,optimal
0.199562747111454,0.19956274710920863,0.4389956830442335,12,optimal
0.19580042863506464,0.19580042863250902,0.3110814499699909,13,optimal
0.2448778391748685,0.24487783917486683,0.40377451968592576,14,optimal
0.28501176067474826,0.2850117606317756,0.541776411604987,15,optimal
0.350659408523401,0.35065940852324584,0.35523883722197047,16,optimal
0.10828737123329957,0.108287371233045,0.2812034439006048,17,optimal
0.23323243155312112,0.23323243156252582,0.2687450818117284,18,optimal
0.1529510760573673,0.15295107606420366,0.3473056196747705,19,optimal
0.16213476409309294,0.1621346868104543,0.4177803913051814,20,optimal
0.2938541785307251,0.29385417849734996,0.38933735708722295,21,optimal
0.5096168709093554,0.5096166575195223,0.41715661959623873,22,optimal
0.16484943339643,0.16484943339640346,0.32910572550548434,23,optimal
0.19883203157954807,0.19883203157998575,0.3192997198471311,24,optimal
0.12658837507683973,0.12658837507763443,0.3460092363168706,25,optimal
0.18982707368491283,0.18982707368449803,0.3297724574718275,26,optimal
0.22042282111686567,0.2204228211333712,0.28604401818979874,27,optimal
0.23268932370074685,0.23268932370050077,0.2828589684805973,28,optimal
0.4274912362941514,0.4274912362941531,0.3931035907959478,29,optimal
0.1690024969359752,0.16900244948998733,0.29886013763165314,30,optimal
0.4861192561727157,0.4861192537781156,0.31218936249849205,31,optimal
0.42836453708369093,0.4283645370845879,0.28846736287323194,32,optimal
0.24871534211988267,0.2487153421342123,0.42927011933568027,33,optimal
0.13295750603114015,0.1329575009012054,0.3503855179301558,34,optimal
0.2184455437989712,0.21844554381754855,0.3788274783117472,35,optimal
0.099765028552864,0.09976502855272806,0.3098005218939137,36,optimal
0.28704418608956744,0.2870441860933186,0.3855317663763526,37,optimal
0.25400465125074523,0.2540046515779649,0.24576061216206502,38,optimal
0.18871082204782774,0.18871082204785616,0.41823117312954966,39,optimal
0.2828983319571954,0.2828983319571783,0.4161449986261534,40,optimal
0.3400538693868109,0.34005224990110605,0.259516481965817,41,optimal
0.4878831179469506,0.4878831105230772,0.29062707802414073,42,optimal
0.26285493218378686,0.26285493218973943,0.40572146265883324,43,optimal
0.12670775757238867,0.12670775757238895,0.4429118623991716,44,optimal
0.2108441532232244,0.2108441532227201,0.33772271017678396,45,optimal
0.24461348910838596,0.244613489161147,0.40762320873414115,46,optimal
0.35345992933378456,0.35345992951804417,0.40208494881017637,47,optimal
0.30472996511947803,0.3047299651384314,0.25029424127708155,48,optimal
0.2713373275665979,0.2713346902618312,0.4378351939735231,49,optimal
0.19391315943220566,0.19391315943226062,0.38401639894875683,50,optimal
0.15018691497821082,0.150186914978234,0.4796340233491135,51,optimal
0.18672150776558066,0.18672150777055108,0.40925415912686547,52,optimal
0.24476897675452897,0.2447637388421665,0.3835783295390567,53,optimal
0.45124431568556134,0.45124430693285,0.3336719296080821,54,optimal
0.1545259994925876,0.15452599949417745,0.2186978190318532,55,optimal
0.36722414333275755,0.3672241433356066,0.3334001892879527,56,optimal
0.3447809045848742,0.34478090458487054,0.1945231899230659,57,optimal
0.2746692111101189,0.2746692111101213,0.30351860553879373,58,optimal
0.3963447018399293,0.39634470184898873,0.46713756066936146,59,optimal
0.2947504950512006,0.2947504949669345,0.4180254431859293,60,optimal
0.24358556538119186,0.24358556538092757,0.3663532525578529,61,optimal
0.37158288939429396,0.3715828893952299,0.3373646573055244,62,optimal
0.33371453233260107,0.33371420351928105,0.27377535194014,63,optimal
0.24345246237494492,0.24345246246677132,0.23413012625296814,64,optimal
0.32183651740067426,0.32183651740585495,0.3887724309321495,65,optimal
