D,I,idx,opt_val
0.8247009605897774,0.8247009606001191,0,1.690232904111153
0.6082389119675476,0.6082389119671954,1,1.1674376065538474
0.8898181517154347,0.8898181500204838,2,2.2279280507088393
0.6457224561275127,0.6457224561685979,3,1.622009135072044
0.9289036628265845,0.9289036628434806,4,1.848444522033681
0.47548479763381174,0.4754847593935043,5,1.2672711235230012
0.673048593731151,0.6730485937309625,6,1.0332906383289395
0.7404458103730123,0.7404458103720996,7,1.5575684787969768
0.556403562797283,0.5564035628084794,8,1.5138392073903963
0.7026436490126617,0.7026436473017816,9,1.8472974177270096
0.4846692051149737,0.48466920511490874,10,1.6240617152808412
1.1644080900999414,1.164404605021155,11,2.0684732260209726
0.47644273859543174,0.4764426830138274,12,0.05164551877354623
0.69594847595674,0.695948475482512,13,0.09244571084721509
0.5447243719266142,0.544723179470156,14,0.09366415826134011
0.6051051572620558,0.6051051572718387,15,0.7201871921237718
0.5163645444323195,0.5163645440709257,16,-0.1185324867961034
0.5980270744773881,0.5980270744767873,17,1.3238495591093056
0.722415732339166,0.7224157320157238,18,0.8290938125464282
0.5532344807918758,0.5532344695201193,19,1.4356791507712057
0.7518102029244287,0.7518102029276206,20,-0.7201257225908115
0.848513597196562,0.8485135945253709,21,1.1622764887084576
0.5719496341703776,0.5719496234899701,22,0.8783845214643009
0.6467179045039599,0.6467164466385876,23,0.9490194503250322
0.9928089290433473,0.992808924911775,24,3.108341352536007
0.5119226838158197,0.5119226838102728,25,1.0927803632058024
1.1244710815690253,1.1244710748917819,26,1.1033921578254828
0.5199821094793751,0.519982109503698,27,1.3896936684361156
0.5376278789439148,0.5376277711915886,28,1.2993554098394895
0.9083225372899794,0.9083225349149815,29,0.29733139019685784
0.9117792546108205,0.9117792321939144,30,2.4958344547956854
0.6585109095363775,0.6585109095357408,31,0.08703960048521305
0.6213488501105099,0.6213488501167104,32,1.424190598129326
0.49242564678623835,0.4924256168515976,33,0.030164410113687645
0.6125626237043477,0.6125626236941545,34,0.532264432759561
0.9254063054804104,0.9254061386642016,35,1.228983943845276
0.6336646858670079,0.633664685866326,36,1.3828836164477325
0.5010033119067263,0.5010033119066978,37,0.5343494612661759
0.556675576389992,0.5566755763810753,38,-0.22523277114349893
0.6278691479377223,0.6278691479387706,39,1.7985165189182535
0.5743053386660211,0.5743053385960216,40,1.131656648625718
0.5002356566770846,0.5002356566770396,41,2.780465224503311
0.48505171554871185,0.485051635214236,42,1.1255652515923167
0.689105986804298,0.6891059868010048,43,2.6093548819323833
0.73736520831536,0.7373652083163871,44,0.988955130851831
1.0538423806208586,1.0538423384086952,45,1.287499969694289
0.48430399819814207,0.48430399787321854,46,0.40117668769208575
0.5044676691587919,0.5044676691589856,47,1.1773861895668523
0.8887550789757879,0.8887550789895184,48,2.9140944281866243
0.522147949913031,0.5221475528336871,49,-1.0265817137164857
0.8400600415475686,0.8400600415473685,50,1.3493390839817831
0.9817717635425822,0.9817711800903477,51,3.0734737711778846
1.0228297051648076,1.0228294008667604,52,0.8189217763288588
1.1644062104235737,1.1644060485683934,53,1.3181865663475345
0.8643878806018532,0.8643878806153629,54,1.9552715114924304
0.6098454424493744,0.6098454424495214,55,1.789421085660912
0.9514656927871821,0.9514656871467955,56,1.859000329992683
1.0923835383388196,1.0923835382367209,57,2.108723987038606
0.8632541653991114,0.863254165236661,58,1.8307614658612057
0.48125531136541116,0.4812553113663598,59,0.12970323946057344
0.8295201079158325,0.8295201079164364,60,1.4054706356951125
0.5075276920611012,0.5075276920571529,61,-0.20592542268889588
0.47750177945449723,0.47750177945457606,62,0.9017499272589165
0.6345740215714187,0.634574021575848,63,2.3871962783012695
1.1440221571960634,1.1440218716893538,64,0.641886549672722
0.5851441689246635,0.585144138408785,65,1.1847509640474
0.9292584965329049,0.9292577977318184,66,1.316023352548595
0.6313182814421138,0.63131828144404,67,1.4994391520925958
0.5265793060770869,0.5265786067692402,68,1.7624109353297452
0.8758431214618283,0.8758431214619559,69,1.4236769698653382
1.1644059083211884,1.1644057378254096,70,1.600970966571403
0.5513736330372244,0.5513736330585854,71,2.4766017746805242
0.5323918692180996,0.5323918690291872,72,0.9723728127605341
0.5522928963704434,0.5522928944374774,73,0.9081714947158694
0.6460791131869471,0.6460791131915605,74,1.5301097677826512
0.560435706859268,0.5604353564633405,75,1.014828463955324
1.164015661446319,1.1640117519803168,76,1.7302913524845265
